Clave Municipio,OC Identificada,Colonias
11019,Cártel de Santa Rosa de Lima,""
11020,Banda de los Rólex,Jardines del Moral
11020,Británicos 13,Chapalita; San Juan Bosco (Vista Hermosa)
11020,Colombianos,""
11020,Cártel Gente Nueva Salazar,""
11020,Cártel Jalisco Nueva Generación,10 de Mayo; Buenos Aires; Central de Abastos; Centro; Cerrito de Jerez; Chapalita; Ciudad Industrial; Cumbres de la Pradera; El Coecillo; Industrial (Hab.); Jardines de Jerez; La Escondida; La Joya; La Margarita; La Yesca; Las Mandar; León I; Los Murales; San Miguel; Villa Insurgentes; Balcones de La Joya; Las Mandarinas; Las Margaritas; Los Aguacates; Los Laureles; Santa Anita; Santo Domingo; Villas del Juncal
11020,Cártel León Nueva Generación,Los Naranjos
11020,Cártel Nueva Plaza,""
11020,Cártel de Santa Rosa de Lima,Villa Insurgentes
11020,Cártel de Sinaloa,""
11020,Grupo Élite,""
11020,La Barredora,""
11020,La Nueva Familia Michoacana,""
11020,La Tía,UrbiVilla del Roble
11020,La Unión León,Portales de La Arboleda; El Peluchán
11020,Las Cabras,""
11020,Las Leches,""
11020,Los Búfalos,""
11020,Los Durango,Barranca de Venaderos
11020,Los Españoles,Lomas de Echeveste
11020,Los Zamarripa,""
11020,Los Álvarez,""
11020,Vieja Guardia,""
11020,Ántrax,""
11021,Cártel Jalisco Nueva Generación,""
11021,Cártel de Santa Rosa de Lima,""
11022,Cártel Jalisco Nueva Generación,""
11023,Cártel Gente Nueva Salazar,Churipitzeo; Estación Pénjamo; La Calle; La Estrella; Laguna Larga de Cortés; Los Ocotes; Pénjamo; Potreros; Santa Ana Pacueco; Buenavista de Cortés
11023,Cártel Jalisco Nueva Generación,""
11023,Cártel Nueva Plaza,""
11023,Cártel de Sinaloa,""
11023,Gente Nueva,""
11023,Guardia Michoacana,""
11023,La Nueva Empresa,""
11023,Los Salazar,""
11023,Los Talibanes,""
11023,Los Viagra,""
11025,Cártel Jalisco Nueva Generación,""
11026,Cártel Jalisco Nueva Generación,""
11027,Cártel Jalisco Nueva Generación,San Pedro; La Cruz
11027,Cártel Nueva Plaza,""
11027,Cártel de Santa Rosa de Lima,Cárdenas; Cerro Gordo; El Calabozo; La Cruz; Los Lobos; Valtierra; Villa Salamanca 400; Aguilera
11027,Cártel de Sinaloa,""
11027,Grupo Élite,""
11027,La Unión León,""
11027,Los Escorpiones,""
11028,Cártel Jalisco Nueva Generación,Guanajuato; Álvaro Obregón
11028,Cártel de Santa Rosa de Lima,Álvaro Obregón; Guanajuato; Rancho Nuevo; San Pedro de los Naranjos; Cupareo
11028,Los Escorpiones,""
11029,Cártel Jalisco Nueva Generación,""
11030,Cártel Jalisco Nueva Generación,Trojes de Aguirre
11030,Cártel de Santa Rosa de Lima,San Bartolo de Berrio; La Estancia (Las Avispas)
11031,Cártel Jalisco Nueva Generación,""
11031,Cártel de Sinaloa,""
11031,Los Metros,""
11032,Cártel Jalisco Nueva Generación,Viborillas
11032,Cártel de Santa Rosa de Lima,""
11032,Cártel de Sinaloa,""
11033,Cártel Jalisco Nueva Generación,""
11035,Cártel Jalisco Nueva Generación,""
