Estado,Organización A,Organización B,2022,2023,2024,2025,Relación
Michoacán,Cártel de Santa Rosa de Lima,Cártel Jalisco Nueva Generación,,2,,,Conflicto
Querétaro,Cártel de Santa Rosa de Lima,Cártel Jalisco Nueva Generación,,1,1,2,Conflicto
Aguascalientes,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,3,11,1,Conflicto
Baja California,Cártel de Sinaloa,Cártel de Los Arellano Félix,,4,3,,Conflicto
Baja California,Cártel de Sinaloa,Cártel de Los Beltrán Leyva,,1,,,Conflicto
Baja California,Cártel de Sinaloa,Cártel de Tijuana Nueva Generación,,2,2,,Conflicto
Baja California,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,4,2,4,Conflicto
Baja California,Cártel de Sinaloa,Fuerzas Armadas Apache,,,1,,Conflicto
Baja California Sur,Cártel de Sinaloa,Cártel de Los Beltrán Leyva,,2,,,Conflicto
Baja California Sur,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,2,,,Conflicto
Chiapas,Cártel de Sinaloa,Cártel Chiapas y Guatemala,,,1,,Conflicto
Chiapas,Cártel de Sinaloa,Cártel de Los Beltrán Leyva,,,16,,Conflicto
Chiapas,Cártel de Sinaloa,Cártel de San Juan Chamula,,,16,,Conflicto
Chiapas,Cártel de Sinaloa,El Maíz,,,1,1,Conflicto
Chiapas,Cártel de Sinaloa,Los Huistas,,,1,,Conflicto
Chiapas,Cártel de Sinaloa,Los Motonetos,,,1,,Conflicto
Chiapas,Cártel de Sinaloa,Los Zetas Vieja Escuela,,,16,,Conflicto
Chiapas,Cártel de Sinaloa,Mara Salvatrucha,,,17,,Conflicto
Chihuahua,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,1,,Conflicto
Chihuahua,Cártel de Sinaloa,La Línea,,8,1,6,Conflicto
Chihuahua,Cártel de Sinaloa,Nuevo Cártel de Juárez,,,3,,Conflicto
Coahuila,Cártel de Sinaloa,Cártel del Noreste,,,1,,Conflicto
Coahuila,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,1,,Conflicto
Colima,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,2,1,,Conflicto
Colima,Cártel de Sinaloa,Los Zetas Vieja Escuela,,1,1,,Conflicto
Durango,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,,1,Conflicto
Durango,Cártel de Sinaloa,Gente del Guano,,,2,,Conflicto
Guanajuato,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,6,11,,Conflicto
Hidalgo,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,,1,Conflicto
Jalisco,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,4,1,,Conflicto
Michoacán,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,1,,Conflicto
Nayarit,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,2,1,1,Conflicto
Nuevo León,Cártel de Sinaloa,Los Chuckys,,,1,,Conflicto
Querétaro,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,,1,Conflicto
Quintana Roo,Cártel de Sinaloa,Cártel de Caborca,,1,,,Conflicto
Quintana Roo,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,1,,,Conflicto
Sinaloa,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,,1,Conflicto
Sonora,Cártel de Sinaloa,Cártel de Caborca,,1,,,Conflicto
Tabasco,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,1,,Conflicto
Tamaulipas,Cártel de Sinaloa,Cártel del Golfo,,,1,,Conflicto
Tamaulipas,Cártel de Sinaloa,Cártel del Noreste,,,1,,Conflicto
Tamaulipas,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,1,,Conflicto
Tamaulipas,Cártel de Sinaloa,Los Zetas Vieja Escuela,,,1,,Conflicto
Tlaxcala,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,1,18,,Conflicto
Veracruz,Cártel de Sinaloa,Cártel del Golfo,,,4,,Conflicto
Veracruz,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,4,,Conflicto
Yucatán,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,,5,Conflicto
Zacatecas,Cártel de Sinaloa,Cártel de Los Maestros,,,,1,Conflicto
Zacatecas,Cártel de Sinaloa,Cártel del Noreste,,,,1,Conflicto
Zacatecas,Cártel de Sinaloa,Cártel Jalisco Nueva Generación,,,3,3,Conflicto
Chiapas,Cártel de Sinaloa ,Cártel Jalisco Nueva Generación,,42,52,1,Conflicto
México,Cártel de Sinaloa ,Cártel Jalisco Nueva Generación,,1,,1,Conflicto
Morelos,Cártel de Sinaloa ,Cártel Jalisco Nueva Generación,,2,,,Conflicto
Oaxaca,Cártel de Sinaloa ,Cártel Jalisco Nueva Generación,,4,,,Conflicto
Baja California,Cártel de Sinaloa (Los Guzmán),Cártel de Los Arellano Félix,,,1,3,Conflicto
Baja California,Cártel de Sinaloa (Los Guzmán),Cártel de Santa Rosa de Lima,,,,1,Conflicto
Baja California,Cártel de Sinaloa (Los Guzmán),Cártel de Sinaloa,,,1,1,Conflicto
Baja California,Cártel de Sinaloa (Los Guzmán),Cártel de Sinaloa (Los Zambada),,,1,6,Conflicto
Baja California,Cártel de Sinaloa (Los Guzmán),Los Arzate,,,,1,Conflicto
Baja California Sur,Cártel de Sinaloa (Los Guzmán),Cártel de Sinaloa (Los Zambada),,,,10,Conflicto
Chihuahua,Cártel de Sinaloa (Los Guzmán),Cártel de Juárez,,1,,,Conflicto
Nuevo León,Cártel de Sinaloa (Los Guzmán),Cártel del Noreste,,1,,,Conflicto
Sinaloa,Cártel de Sinaloa (Los Guzmán),Cártel de Sinaloa (Los Zambada),,,6,40,Conflicto
Sinaloa,Cártel de Sinaloa (Los Guzmán),Los Mazatlecos,,,,1,Conflicto
Sonora,Cártel de Sinaloa (Los Guzmán),Cártel de Caborca,,,1,,Conflicto
Sonora,Cártel de Sinaloa (Los Guzmán),Cártel de Sinaloa (Los Zambada),,,1,,Conflicto
Sonora,Cártel de Sinaloa (Los Guzmán),Los Rusos,,,1,2,Conflicto
Tamaulipas,Cártel de Sinaloa (Los Guzmán),Cártel de Sinaloa (Los Zambada),,,1,,Conflicto
Zacatecas,Cártel de Sinaloa (Los Guzmán),Cártel de Sinaloa (Los Zambada),,,1,,Conflicto
Baja California,Cártel de Sinaloa (Los Zambada),Cártel de Los Arellano Félix,,,1,3,Conflicto
Baja California,Cártel de Sinaloa (Los Zambada),Cártel de Santa Rosa de Lima,,,,1,Conflicto
Baja California,Cártel de Sinaloa (Los Zambada),Cártel de Sinaloa,,,1,1,Conflicto
Baja California,Cártel de Sinaloa (Los Zambada),Cártel de Sinaloa (Los Guzmán),,,1,5,Conflicto
Baja California,Cártel de Sinaloa (Los Zambada),Cártel Jalisco Nueva Generación,,,1,3,Conflicto
Baja California Sur,Cártel de Sinaloa (Los Zambada),Cártel de Sinaloa (Los Guzmán),,,,7,Conflicto
Baja California Sur,Cártel de Sinaloa (Los Zambada),Los Cabrera,,,,2,Conflicto
Chihuahua,Cártel de Sinaloa (Los Zambada),La Línea,,,,2,Conflicto
Coahuila,Cártel de Sinaloa (Los Zambada),Cártel de Sinaloa (Los Guzmán),,,,1,Conflicto
Colima,Cártel de Sinaloa (Los Zambada),Cártel de Sinaloa (Los Guzmán),,,1,,Conflicto
Durango,Cártel de Sinaloa (Los Zambada),Cártel de Sinaloa (Los Guzmán),,,1,,Conflicto
Nayarit,Cártel de Sinaloa (Los Zambada),Cártel Jalisco Nueva Generación,,,1,6,Conflicto
Sinaloa,Cártel de Sinaloa (Los Zambada),Cártel de Los Beltrán Leyva,,,,1,Conflicto
Sinaloa,Cártel de Sinaloa (Los Zambada),Cártel de Sinaloa,,,1,,Conflicto
Sinaloa,Cártel de Sinaloa (Los Zambada),Cártel de Sinaloa (Los Guzmán),,,8,35,Conflicto
Sinaloa,Cártel de Sinaloa (Los Zambada),Cártel de Sinaloa (Los Zambada),,,1,,Conflicto
Sonora,Cártel de Sinaloa (Los Zambada),Cártel de Sinaloa (Los Guzmán),,,1,1,Conflicto
Tamaulipas,Cártel de Sinaloa (Los Zambada),Cártel de Sinaloa (Los Guzmán),,,1,,Conflicto
Tamaulipas,Cártel de Sinaloa (Los Zambada),Tropa del Infierno,,,1,,Conflicto
Zacatecas,Cártel de Sinaloa (Los Zambada),Cártel Jalisco Nueva Generación,,,1,,Conflicto
Michoacán,Cártel de Tepalcatepec,Cártel Michoacán Nueva Generación,,,2,,Conflicto
,Cártel de Tijuana Nueva Generación,Cártel de Los Arellano Félix,1,,,,Conflicto
Baja California,Cártel de Tijuana Nueva Generación,Cártel de Sinaloa,,1,2,,Conflicto
Distrito Federal,Cártel de Tláhuac,La Unión Tepito,,,1,4,Conflicto
Distrito Federal,Cártel de Tláhuac,Los Rodolfos,,,,4,Conflicto
Hidalgo,Cártel de Tláhuac,La Unión Tepito,,,,1,Conflicto
Hidalgo,Cártel de Tláhuac,Los Rodolfos,,,,1,Conflicto
México,Cártel de Tláhuac,La Unión Tepito,,,,1,Conflicto
México,Cártel de Tláhuac,Los Rodolfos,,,,1,Conflicto
Morelos,Cártel de Tláhuac,La Unión Tepito,,,,1,Conflicto
Morelos,Cártel de Tláhuac,Los Rodolfos,,,,1,Conflicto
,Cártel de Zicuirán,Cártel Jalisco Nueva Generación,1,,,,Conflicto
,Cártel del Camaleón,Cártel Jalisco Nueva Generación,1,,,,Conflicto
México,Cártel del Golfo,Cártel Jalisco Nueva Generación,,,,1,Conflicto
Nuevo León,Cártel del Golfo,Cártel del Noreste,,,1,1,Conflicto
Tamaulipas,Cártel del Golfo,Cártel de Sinaloa,,,1,,Conflicto
Tamaulipas,Cártel del Golfo,Cártel del Noreste,,,1,,Conflicto
Tamaulipas,Cártel del Golfo,Los Zetas Vieja Escuela,,,1,,Conflicto
Veracruz,Cártel del Golfo,Cártel de Sinaloa,,,4,,Conflicto
Veracruz,Cártel del Golfo,Cártel Jalisco Nueva Generación,,,4,,Conflicto
Tamaulipas,Cártel del Golfo Nueva Era,Los Ciclones,,,,1,Conflicto
Baja California,Cártel del Mar,Cártel de Sinaloa (Los Zambada),,,,1,Conflicto
Baja California,Cártel del Mar,Los Rusos,,,,3,Conflicto
Coahuila,Cártel del Noreste,Cártel de Sinaloa,,,1,,Conflicto
Coahuila,Cártel del Noreste,Cártel Jalisco Nueva Generación,,,1,,Conflicto
Morelos,Cártel del Noreste,Cártel de Sinaloa,,6,,,Conflicto
Morelos,Cártel del Noreste,Cártel Jalisco Nueva Generación,,6,,,Conflicto
Morelos,Cártel del Noreste,La Nueva Familia Michoacana,,1,,,Conflicto
Morelos,Cártel del Noreste,Los Guerrero,,4,,,Conflicto
Morelos,Cártel del Noreste,Los Metros,,6,,,Conflicto
Morelos,Cártel del Noreste,Los Zetas Vieja Escuela,,6,,,Conflicto
Nuevo León,Cártel del Noreste,Cártel del Golfo,,,1,1,Conflicto
Nuevo León,Cártel del Noreste,Los Costales,,,2,,Conflicto
San Luis Potosí,Cártel del Noreste,Grupo Bravo,,,,2,Conflicto
Tabasco,Cártel del Noreste,Cártel Jalisco Nueva Generación,,,1,,Conflicto
Tamaulipas,Cártel del Noreste,Cártel de Sinaloa,,,1,,Conflicto
Tamaulipas,Cártel del Noreste,Cártel del Golfo,,,1,,Conflicto
Tamaulipas,Cártel del Noreste,Cártel Jalisco Nueva Generación,,,1,,Conflicto
Tamaulipas,Cártel del Noreste,Los Metros,,,,7,Conflicto
Tamaulipas,Cártel del Noreste,Los Zetas Vieja Escuela,,,1,,Conflicto
México,Cártel del Nuevo Imperio,La Unión Tepito,,19,,,Conflicto
,Cártel del Pelón de Playas,Banda del Kalimba,1,,,,Conflicto
Coahuila,Cártel del Poniente,Cártel de Sinaloa (Los Zambada),,,,1,Conflicto
,Cártel del Sur,Los Rojos,1,,,,Conflicto
Guerrero,Cártel del Sur,La Nueva Familia Michoacana,,,1,,Conflicto
Guerrero,Cártel del Sur,Los Jaliscos,,,1,,Conflicto
Guanajuato,Cártel Gente Nueva Salazar,Cártel de Santa Rosa de Lima,,,11,1,Conflicto
Guanajuato,Cártel Gente Nueva Salazar,Cártel de Sinaloa,,,,1,Conflicto
Guanajuato,Cártel Gente Nueva Salazar,Cártel Jalisco Nueva Generación,,,11,1,Conflicto
Guanajuato,Cártel Gente Nueva Salazar,Cártel La Nueva Familia,,,,1,Conflicto
Guanajuato,Cártel Gente Nueva Salazar,Cártel Nueva Plaza,,,,1,Conflicto
Querétaro,Cártel Gente Nueva Salazar,Cártel Jalisco Nueva Generación,,,,1,Conflicto
,Cártel Independiente de Acapulco,Cártel Jalisco Nueva Generación,1,,,,Conflicto
,Cártel Independiente de Acapulco,Los Rusos (de Guerrero),1,,,,Conflicto
,Cártel Independiente de Acapulco,Los Zetas Vieja Escuela,1,,,,Conflicto
Guerrero,Cártel Independiente de Acapulco,Los Rusos,,,1,,Conflicto
,Cártel Independiente de Nuevo Léon,Cártel del Noreste,1,,,,Conflicto
,Cártel Jalisco Nueva Generación,Banda de Chapala,1,,,,Conflicto
,Cártel Jalisco Nueva Generación,Banda de El Chita,1,,,,Conflicto
Aguascalientes,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,1,3,2,Conflicto
Baja California,Cártel Jalisco Nueva Generación,Cártel de Santa Rosa de Lima,,,,1,Conflicto
Baja California,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,7,2,6,Conflicto
Baja California,Cártel Jalisco Nueva Generación,Cártel de Sinaloa (Los Zambada),,,1,4,Conflicto
Baja California,Cártel Jalisco Nueva Generación,La Gente de Aquiles,,,,1,Conflicto
Baja California,Cártel Jalisco Nueva Generación,Los Arzate,,,1,1,Conflicto
Baja California Sur,Cártel Jalisco Nueva Generación,Cártel de Los Beltrán Leyva,,2,,,Conflicto
Baja California Sur,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,2,,,Conflicto
Chiapas,Cártel Jalisco Nueva Generación,Cártel de Los Beltrán Leyva,,,14,,Conflicto
Chiapas,Cártel Jalisco Nueva Generación,Cártel de San Juan Chamula,,,14,,Conflicto
Chiapas,Cártel Jalisco Nueva Generación,Los Huistas,,,1,,Conflicto
Chiapas,Cártel Jalisco Nueva Generación,Los Motonetos,,,1,,Conflicto
Chiapas,Cártel Jalisco Nueva Generación,Los Zetas Vieja Escuela,,,14,,Conflicto
Chiapas,Cártel Jalisco Nueva Generación,Mara Salvatrucha,,,15,,Conflicto
Coahuila,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,,1,,Conflicto
Coahuila,Cártel Jalisco Nueva Generación,Cártel del Noreste,,,1,,Conflicto
Colima,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,1,2,,Conflicto
Colima,Cártel Jalisco Nueva Generación,Los Mezcales,,,1,,Conflicto
Colima,Cártel Jalisco Nueva Generación,Los Zetas Vieja Escuela,,1,1,,Conflicto
Distrito Federal,Cártel Jalisco Nueva Generación,Cártel de Santa Rosa de Lima,,,,3,Conflicto
Distrito Federal,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,,,3,Conflicto
Guanajuato,Cártel Jalisco Nueva Generación,Cártel de Santa Rosa de Lima,,23,35,1,Conflicto
Guanajuato,Cártel Jalisco Nueva Generación,La Nueva Familia Michoacana,,,1,,Conflicto
Guerrero,Cártel Jalisco Nueva Generación,Cártel de Caborca,,,,1,Conflicto
Guerrero,Cártel Jalisco Nueva Generación,La Nueva Familia Michoacana,,,1,1,Conflicto
Guerrero,Cártel Jalisco Nueva Generación,Los Rusos,,,1,,Conflicto
Hidalgo,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,,,1,Conflicto
Jalisco,Cártel Jalisco Nueva Generación,Cártel de Santa Rosa de Lima,,,,1,Conflicto
Jalisco,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,3,1,1,Conflicto
Jalisco,Cártel Jalisco Nueva Generación,La Familia Michoacana,,,,1,Conflicto
Jalisco,Cártel Jalisco Nueva Generación,Los Caballeros Templarios,,,,1,Conflicto
Michoacán,Cártel Jalisco Nueva Generación,Comandante Teto,,,1,,Conflicto
Michoacán,Cártel Jalisco Nueva Generación,Grupo X,,,,3,Conflicto
Michoacán,Cártel Jalisco Nueva Generación,La Familia Michoacana,,,,1,Conflicto
Michoacán,Cártel Jalisco Nueva Generación,Los Correa,,,1,,Conflicto
Nayarit,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,1,1,1,Conflicto
Nayarit,Cártel Jalisco Nueva Generación,Cártel de Sinaloa (Los Zambada),,,1,9,Conflicto
Nuevo León,Cártel Jalisco Nueva Generación,Los Chuckys,,,1,,Conflicto
Puebla,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,,,11,Conflicto
Querétaro,Cártel Jalisco Nueva Generación,Cártel de Santa Rosa de Lima,,1,1,1,Conflicto
Querétaro,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,,,1,Conflicto
Querétaro,Cártel Jalisco Nueva Generación,La Nueva Familia Michoacana,,,,1,Conflicto
Querétaro,Cártel Jalisco Nueva Generación,Los Escorpiones,,,,1,Conflicto
Quintana Roo,Cártel Jalisco Nueva Generación,Cártel de Caborca,,,,3,Conflicto
Quintana Roo,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,1,,1,Conflicto
San Luis Potosí,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,,,1,Conflicto
Sinaloa,Cártel Jalisco Nueva Generación,Cártel de Sinaloa (Los Zambada),,,,1,Conflicto
Tabasco,Cártel Jalisco Nueva Generación,La Barredora,,,7,3,Conflicto
Tamaulipas,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,,1,,Conflicto
Tamaulipas,Cártel Jalisco Nueva Generación,Cártel del Golfo,,,1,,Conflicto
Tamaulipas,Cártel Jalisco Nueva Generación,Cártel del Noreste,,,1,,Conflicto
Tamaulipas,Cártel Jalisco Nueva Generación,Los Zetas Vieja Escuela,,,1,,Conflicto
Tamaulipas,Cártel Jalisco Nueva Generación,Tropa del Infierno,,,1,,Conflicto
Tlaxcala,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,1,20,,Conflicto
Veracruz,Cártel Jalisco Nueva Generación,Cártel de Santa Rosa de Lima,,,,3,Conflicto
Veracruz,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,,4,3,Conflicto
Veracruz,Cártel Jalisco Nueva Generación,Cártel del Golfo,,,4,,Conflicto
Zacatecas,Cártel Jalisco Nueva Generación,Cártel de Los Maestros,,,,1,Conflicto
Zacatecas,Cártel Jalisco Nueva Generación,Cártel de Santa Rosa de Lima,,,1,,Conflicto
Zacatecas,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,,4,3,Conflicto
Zacatecas,Cártel Jalisco Nueva Generación,Cártel de Sinaloa (Los Zambada),,,1,,Conflicto
Zacatecas,Cártel Jalisco Nueva Generación,Cártel del Noreste,,,,1,Conflicto
Chiapas,Cártel Jalisco Nueva Generación ,Cártel de Sinaloa,,50,49,2,Conflicto
México,Cártel Jalisco Nueva Generación ,Cártel de Sinaloa,,13,,1,Conflicto
Michoacán,Cártel Jalisco Nueva Generación ,Cártel de Santa Rosa de Lima,,42,,2,Conflicto
Michoacán,Cártel Jalisco Nueva Generación ,Cártel de Sinaloa,,42,1,2,Conflicto
Michoacán,Cártel Jalisco Nueva Generación ,Cártel de Tepalcatepec,,1,5,1,Conflicto
Michoacán,Cártel Jalisco Nueva Generación ,Cárteles Unidos ,,2,3,,Conflicto
Michoacán,Cártel Jalisco Nueva Generación ,La Nueva Familia Michoacana,,1,1,7,Conflicto
Michoacán,Cártel Jalisco Nueva Generación ,Los Caballeros Templarios,,7,4,6,Conflicto
Michoacán,Cártel Jalisco Nueva Generación ,Los Tena,,2,,1,Conflicto
Morelos,Cártel Jalisco Nueva Generación ,Cártel de Santa Rosa de Lima,,2,,,Conflicto
Morelos,Cártel Jalisco Nueva Generación ,Cártel de Sinaloa,,2,,,Conflicto
Morelos,Cártel Jalisco Nueva Generación ,Los Rojos,,1,,,Conflicto
Oaxaca,Cártel Jalisco Nueva Generación ,Cártel de Santa Rosa de Lima,,6,,,Conflicto
Oaxaca,Cártel Jalisco Nueva Generación ,Cártel de Sinaloa,,6,,,Conflicto
Guanajuato,Cártel La Nueva Familia,Cártel de Santa Rosa de Lima,,,,1,Conflicto
Guanajuato,Cártel La Nueva Familia,Cártel de Sinaloa,,,,1,Conflicto
Guanajuato,Cártel La Nueva Familia,Cártel Jalisco Nueva Generación,,,,1,Conflicto
Guanajuato,Cártel La Nueva Familia,Cártel Nueva Plaza,,,,1,Conflicto
Guanajuato,Cártel La Nueva Familia,Cártel Nueva Salazar,,,,1,Conflicto
Michoacán,Cártel Michoacán Nueva Generación,Cártel de Tepalcatepec,,,6,,Conflicto
Michoacán,Cártel Michoacán Nueva Generación,La Nueva Familia Michoacana,,,,4,Conflicto
Michoacán,Cártel Michoacán Nueva Generación,Los Caballeros Templarios,,,3,8,Conflicto
Guanajuato,Cártel Nueva Plaza,Cártel de Santa Rosa de Lima,,,,1,Conflicto
Guanajuato,Cártel Nueva Plaza,Cártel Jalisco Nueva Generación,,,,1,Conflicto
Guanajuato,Cártel Nueva Plaza,Cártel La Nueva Familia,,,,1,Conflicto
Guanajuato,Cártel Nueva Plaza,Cártel Nueva Salazar,,,,1,Conflicto
Jalisco,Cártel Nueva Plaza,Cártel de Sinaloa (Los Guzmán),,,,1,Conflicto
,Cártel Zicuirán Nueva Generación,Cárteles Unidos,1,,,,Conflicto
,Cártel Zicuirán Nueva Generación,La Nueva Familia Michoacana,1,,,,Conflicto
Guanajuato,Cárteles Unidos,Cártel Jalisco Nueva Generación,,,1,,Conflicto
México,Cárteles Unidos,Cártel Jalisco Nueva Generación,,,,1,Conflicto
México,Cárteles Unidos,Los Viagra,,,,1,Conflicto
Michoacán,Cárteles Unidos,Los Caballeros Templarios,,,1,,Conflicto
Michoacán,Cárteles Unidos ,Cártel Jalisco Nueva Generación,,6,5,1,Conflicto
,CDX,Cártel del Noreste,1,,,,Conflicto
,CNR,Banda del Kalimba,1,,,,Conflicto
,Colombianos,Cártel Jalisco Nueva Generación,1,,,,Conflicto
,Columna Armada Pedro J. Méndez,Cártel del Noreste,1,,,,Conflicto
,Comando Tlahuica,Los Rojos,1,,,,Conflicto
,Comando XXIII,Cártel de Zicuirán,1,,,,Conflicto
,Comando XXIII,Los Viagra,1,,,,Conflicto
Michoacán,Comando XXIII,Cárteles Unidos ,,1,,,Conflicto
Michoacán,Comando XXIII,La Nueva Familia Michoacana,,1,,,Conflicto
Guerrero,Doble B,La Nueva Familia Michoacana,,,1,,Conflicto
Sinaloa,Don Lemo,Cártel de Sinaloa (Los Zambada),,,,1,Conflicto
Sinaloa,El 00,Cártel de Sinaloa (Los Guzmán),,,,1,Conflicto
Quintana Roo,El 15,Cártel de Sinaloa (Los Zambada),,,,1,Conflicto
,El 30,Cártel Jalisco Nueva Generación,1,,,,Conflicto
Aguascalientes,El 30,Cártel de Sinaloa (Los Guzmán),,,,1,Conflicto
Guanajuato,El 30,Cártel de Sinaloa (Los Guzmán),,,,1,Conflicto
Querétaro,El 30,Cártel de Sinaloa (Los Guzmán),,,,1,Conflicto
Sinaloa,El 40,Cártel de Sinaloa (Los Zambada),,,,1,Conflicto
Morelos,El Flaco,Cártel de Sinaloa (Los Guzmán),,,,1,Conflicto
Chiapas,El Güero Pulseras,Cártel de Sinaloa (Los Guzmán),,,,1,Conflicto
Sinaloa,El Limón,Cártel de Sinaloa (Los Guzmán),,,,1,Conflicto
Chiapas,El Machete,Cártel de Sinaloa,,,,1,Conflicto
Chiapas,El Maíz,Cártel de Sinaloa,,,,1,Conflicto
Chihuahua,El Señor de la V,Cártel de Sinaloa (Los Zambada),,,,1,Conflicto
Distrito Federal,El Tren de Aragua,Familia Gandarilla,,,,1,Conflicto
Distrito Federal,El Tren de Aragua,Fuerza Anti-Unión Tepito,,,,6,Conflicto
,Equipo del Justiciero del Pueblo,Cárteles Unidos,1,,,,Conflicto
,Equipo del Justiciero del Pueblo,La Nueva Familia Michoacana,1,,,,Conflicto
,Familia Gandarilla,Los Salgueiro,1,,,,Conflicto
,Familia Meza Osorio,La Línea,1,,,,Conflicto
,Familia Meza Osorio,Los Salgueiro,1,,,,Conflicto
,Familia Núñez Meza,Fuerzas Especiales Mexicles,1,,,,Conflicto
,Familia Núñez Meza,La Línea,1,,,,Conflicto
,Familia Núñez Meza,Los Nuevos Aztecas,1,,,,Conflicto
,Federación Guerrerense,La Nueva Familia Michoacana,1,,,,Conflicto
Distrito Federal,Fuerza Anti-Unión Tepito,La Unión Tepito,,4,6,5,Conflicto
Baja California,Fuerzas Armadas Apache,Cártel de Sinaloa,,,1,,Conflicto
,Fuerzas Armadas de Simojovel,Los Diablos,1,,,,Conflicto
Jalisco,Fuerzas Especiales del Charro,Cártel Jalisco Nueva Generación,,,,1,Conflicto
Veracruz,Fuerzas Especiales Grupo Sombra,Cártel Jalisco Nueva Generación,,,,12,Conflicto
Veracruz,Fuerzas Especiales Grupo Sombra,Gente Nueva,,,,3,Conflicto
Veracruz,Fuerzas Especiales Grupo Sombra,Gestora,,,,4,Conflicto
,Fuerzas Especiales Mencho,Cárteles Unidos,1,,,,Conflicto
,Fuerzas Especiales Mexicles,Cártel de Sinaloa,1,,,,Conflicto
,Fuerzas Especiales Mexicles,Los Artistas Asesinos,1,,,,Conflicto
,Fuerzas Especiales Mexicles,Los Mexicles,1,,,,Conflicto
Durango,Fuerzas Especiales Unión,Cártel de Sinaloa (Los Zambada),,,1,,Conflicto
Jalisco,Fuerzas Especiales Unión,Cártel de Sinaloa (Los Zambada),,,1,,Conflicto
Sinaloa,Fuerzas Especiales Unión,Cártel de Sinaloa (Los Zambada),,,,14,Conflicto
Chihuahua,Gente Nueva,La Línea,,1,1,,Conflicto
Morelos,Gente Nueva,Cártel Jalisco Nueva Generación,,1,,,Conflicto
Veracruz,Gente Nueva,Cártel Jalisco Nueva Generación,,1,,3,Conflicto
Veracruz,Gente Nueva,Fuerzas Especiales Grupo Sombra,,,,3,Conflicto
Chihuahua,Gente Nueva del Jaguar,Cártel de Sinaloa (Los Guzmán),,,,1,Conflicto
Veracruz,Gestora,Fuerzas Especiales Grupo Sombra,,,,4,Conflicto
Aguascalientes,Gpo. Flechas Operativa M.Z.,Cártel Jalisco Nueva Generación,,2,,,Conflicto
Nayarit,Gpo. Flechas Operativa M.Z.,Cártel de Sinaloa (Los Guzmán),,,,1,Conflicto
San Luis Potosí,Gpo. Flechas Operativa M.Z.,Cártel de Sinaloa (Los Guzmán),,,,1,Conflicto
San Luis Potosí,Grupo Bravo,Cártel del Noreste,,,,2,Conflicto
San Luis Potosí,Grupo Bravo,Cártel Jalisco Nueva Generación,,,,2,Conflicto
Sinaloa,Grupo del Guano,Cártel de Sinaloa (Los Zambada),,,,1,Conflicto
Sinaloa,Grupo del Guano,Los Mazatlecos,,,,1,Conflicto
Guanajuato,Grupo Élite,Cártel de Santa Rosa de Lima,,,1,,Conflicto
Tamaulipas,Grupo Pantera,Los Escorpiones,,,,1,Conflicto
Michoacán,Grupo Reacción,Los Caballeros Templarios,,,,1,Conflicto
Michoacán,Grupo X,Cártel Jalisco Nueva Generación,,1,,1,Conflicto
,Grupo X-CJNG,La Nueva Familia Michoacana,1,,,,Conflicto
,Grupo X-CJNG,Los Correa,1,,,,Conflicto
,Guardia Guerrerense,Sangre Nueva Guerrerense,1,,,,Conflicto
,Guardia Michoacana,Cártel Jalisco Nueva Generación,1,,,,Conflicto
Guerrero,Guerrero Nueva Generación,Los Granados,,,7,,Conflicto
