Estado,Organización A,Organización B,2022,2023,2024,2025,Relación
Tamaulipas,Cártel del Noreste,Cártel de Sinaloa (Los Zambada),,,,1,Alianza
Distrito Federal,Cártel del Nuevo Imperio,La Unión Tepito,,,,1,Alianza
,Cártel del Poniente,Cártel de Sinaloa,1,,,,Alianza
,Cártel del Poniente,Cártel Jalisco Nueva Generación,1,,,,Alianza
Guerrero,Cártel del Sur,Guerreros Unidos,,,,2,Alianza
Guerrero,Cártel del Sur,Los Rojos,,,,1,Alianza
Guerrero,Cártel del Sur,Los Tlacos,,,,3,Alianza
Querétaro,Cártel Gente Nueva Salazar,Los Escorpiones,,,,1,Alianza
Baja California,Cártel Jalisco Nueva Generación,Cártel de Sinaloa (Los Guzmán),,,,1,Alianza
Baja California,Cártel Jalisco Nueva Generación,Los Primos,,,,1,Alianza
Distrito Federal,Cártel Jalisco Nueva Generación,Fuerza Anti-Unión Tepito,,,2,,Alianza
Distrito Federal,Cártel Jalisco Nueva Generación,Los Canchola,,,,1,Alianza
Guerrero,Cártel Jalisco Nueva Generación,Cártel de Sinaloa,,,1,,Alianza
Guerrero,Cártel Jalisco Nueva Generación,Cártel Independiente de Acapulco,,,1,,Alianza
Guerrero,Cártel Jalisco Nueva Generación,Flor Imperial,,,1,,Alianza
Guerrero,Cártel Jalisco Nueva Generación,La Tecampanera,,,1,,Alianza
Jalisco,Cártel Jalisco Nueva Generación,Cártel de Sinaloa (Los Guzmán),,,,1,Alianza
Michoacán,Cártel Jalisco Nueva Generación,Cártel de la Virgen,,,3,1,Alianza
Michoacán,Cártel Jalisco Nueva Generación,Los Blancos de Troya,,,3,2,Alianza
Michoacán,Cártel Jalisco Nueva Generación,Los Viagra,,,9,4,Alianza
Nayarit,Cártel Jalisco Nueva Generación,Hermanos Bonques,,,1,,Alianza
Nayarit,Cártel Jalisco Nueva Generación,Cártel de Sinaloa (Los Guzmán),,,1,,Alianza
Nuevo León,Cártel Jalisco Nueva Generación,Los Primos,,,,1,Alianza
Puebla,Cártel Jalisco Nueva Generación,Operativa La Barredora del CJNG,,,,11,Alianza
San Luis Potosí,Cártel Jalisco Nueva Generación,Cártel de Santa Rosa de Lima,,,,1,Alianza
San Luis Potosí,Cártel Jalisco Nueva Generación,Los Escorpiones,,,,1,Alianza
San Luis Potosí,Cártel Jalisco Nueva Generación,Los Primos,,,,1,Alianza
Sinaloa,Cártel Jalisco Nueva Generación,Cártel de Sinaloa (Los Guzmán),,,,3,Alianza
Tamaulipas,Cártel Jalisco Nueva Generación,Los Metros,,1,,1,Alianza
Tamaulipas,Cártel Jalisco Nueva Generación,Los Primos,,,,2,Alianza
Yucatán,Cártel Jalisco Nueva Generación,La Barredora,,,,6,Alianza
Chihuahua,Cártel López,La Línea,,,,1,Alianza
Jalisco,Cártel Michoacán Nueva Generación,Los Viagra,,,,1,Alianza
Michoacán,Cártel Michoacán Nueva Generación,Cártel Jalisco Nueva Generación,,,9,6,Alianza
Michoacán,Cártel Michoacán Nueva Generación,Los Blancos de Troya,,,,3,Alianza
Michoacán,Cártel Michoacán Nueva Generación,Los Viagra,,,9,20,Alianza
Nayarit,Cártel Michoacán Nueva Generación,Los Viagra,,,,1,Alianza
