Clave Municipio,Colonia,OC Identificada,Acumulado,2023 a 2025
2000,,Cártel de Los Beltrán Leyva,1,1
2000,,Cártel de Sinaloa (Los Guzmán),1,1
2000,,Cártel de Sinaloa (Los Zambada),1,1
2000,,Cártel de Tijuana Nueva Generación,1,1
2000,,Cártel Jalisco Nueva Generación,1,1
2000,,El Tren de Aragua,1,1
2000,,La Barredora,1,1
2000,,La Familia Inzunza,1,1
2000,,Los 28,1,
2000,,Los Ántrax,1,1
2000,,Los Cabrera,1,1
2000,,Los Chilangos (Quintana Roo),1,1
2000,,Los Colombianos,1,1
2000,,Los Cuinis,1,
2000,,Los Gorilas,1,1
2000,,Los Mazatlecos,1,1
2000,,Los Pelones,1,1
2000,,Los Pía,1,1
2000,,Los Rusos,1,1
2000,,Organización criminal de la familia Meza Flores,1,
2001,,Cártel de Los Arellano Félix,1,1
2001,,Cártel de Los Beltrán Leyva,1,1
2001,,Cártel de Los Cabos,1,1
2001,,Cártel de Sinaloa,1,1
2001,,Cártel de Sinaloa (Los Guzmán),1,1
2001,,Cártel de Sinaloa (Los Zambada),1,1
2001,,Cártel del Golfo,1,1
2001,,Cártel Jalisco Nueva Generación,1,1
2001,,El Speed,,1
2001,,La Gente de Aquiles,1,1
2001,,Los Arzate,1,1
2001,,Los Escudero,1,
2001,,Los Primos,1,1
2001,,Los Querreques,1,
2001,,Los Ruelas Torres,1,1
2001,,Los Rusos,1,1
2001,,Los Venados,1,
2001,,Los Zorros,1,1
2001, Aviación,La Barredora,1,
2001, Bellavista,Los Mercenarios,1,
2001, Benito Juárez,Los Mercenarios,1,
2001, Centro,Los Arzate,1,
2001, El Ciprés,Los Arzate,1,
2001, El Ciprés,Los Mercenarios,1,
2001, El Porvenir,Los Arzate,1,
2001, El Porvenir,Los Mercenarios,1,
2001, El Sauzal,Cártel de Los Arellano Félix,1,
2001, El Sauzal,Cártel Jalisco Nueva Generación,1,
2001, El Sauzal,Los Mercenarios,1,
2001, Escritores,Cártel de Los Arellano Félix,1,
2001, Escritores,Cártel de Sinaloa,1,
2001, Escritores,Cártel Jalisco Nueva Generación,1,
2001, Francisco Zarco,Cártel de Los Arellano Félix,1,
2001, Francisco Zarco,Cártel de Sinaloa,1,
2001, Francisco Zarco,Cártel Jalisco Nueva Generación,1,
2001, Francisco Zarco,Los Arzate,1,
2001, Francisco Zarco,Los Mercenarios,1,
2001, Isla de Cedros,Los Venados,1,
2001, La Misión,Los Mercenarios,1,
2001, Las Lomitas,Los Mercenarios,1,
2001, Loma Linda,Los Mercenarios,1,
2001, Los Encinos,Los Mercenarios,1,
2001, Los Laureles,Los Mercenarios,1,
2001, Maneadero,Los Arzate,1,
2001, Obrera,Los Mercenarios,1,
2001, Ojos Negros,Los Mercenarios,1,
2001, Pórticos del Mar 1,Los Arzate,1,
2001, Pórticos del Mar 1,Los Venados,1,
2001, Praderas del Ciprés Sección 2,Cártel Jalisco Nueva Generación,1,
2001, Punta Banda,Los Venados,1,
2001, San Antonio de Las Minas,Cártel de Los Arellano Félix,1,
2001, San Antonio de Las Minas,Cártel de Sinaloa,1,
2001, San Antonio de Las Minas,Cártel Jalisco Nueva Generación,1,
2001, San Antonio de Las Minas,Los Arzate,1,
2001, San Antonio de Las Minas,Los Mercenarios,1,
2001, San Quintín,Cártel de Sinaloa (Los Zambada),1,
2001, San Vicente,Cártel de Los Arellano Félix,1,
2001, San Vicente,Cártel de Sinaloa,1,
2001, San Vicente,Los Arzate,1,
2001, Sección Primera,Cártel de Ensenada,1,
2001, Sección Primera,Cártel de Los Arellano Félix,1,
2001, Sección Primera,Los Mercenarios,1,
2001, Valle Verde,Los Mercenarios,1,
2001, Villa Jesús María,Cártel de Sinaloa,1,
2001, Villas del Real Residencial (aeropuerto),Los Venados,1,
2001, Villas del Sol,Los Mercenarios,1,
2001, Zona Turística,Cártel de Sinaloa (Los Zambada),1,
2001, Zona Turística,Cártel Jalisco Nueva Generación,1,
2001,Acapulco,Los Arzate,1,1
2001,Centro,Los Arzate,,1
2001,Chapultepec,Los Venados,1,1
2001,El Ciprés,Cártel de Ensenada,1,
2001,El Porvenir,Cártel de Los Arellano Félix,1,1
2001,El Porvenir,Cártel de Sinaloa,1,1
2001,El Porvenir,Cártel Jalisco Nueva Generación,1,1
2001,El Porvenir,Los Arzate,,1
2001,El Porvenir,Los Cabezones,1,1
2001,El Sauzal,Cártel de Sinaloa (Los Zambada),1,1
2001,El Sauzal,Cártel del Golfo,1,1
2001,El Sauzal,Cártel Jalisco Nueva Generación,,1
2001,Escritores,Cártel de Los Arellano Félix,,1
2001,Escritores,Cártel de Sinaloa,,1
2001,Escritores,Cártel Jalisco Nueva Generación,,1
2001,Francisco Zarco,Cártel de Los Arellano Félix,,1
2001,Francisco Zarco,Cártel de Sinaloa,,1
2001,Francisco Zarco,Cártel Jalisco Nueva Generación,,1
2001,Francisco Zarco,Los Arzate,,1
2001,Isla de Cedros,Los Rusos,,1
2001,Isla de Cedros,Los Venados,,1
2001,Isla San Jéronimo,Los Rusos,,1
2001,Isla San Martín,Los Rusos,,1
2001,Maneadero,Los Arzate,,1
2001,Ojos Negros,Los Sillas,1,
2001,Pórticos del Mar 1,La Barredora,1,
2001,Pórticos del Mar 1,Los Mercenarios,1,
2001,Praderas del Ciprés Sección 2,Cártel Jalisco Nueva Generación,,1
2001,Punta Banda,Los Venados,,1
2001,Punta Colonet,Cártel de Sinaloa (Los Guzmán),,1
2001,Punta Colonet,Cártel de Sinaloa (Los Zambada),,1
2001,San Antonio de Las Minas,Cártel de Los Arellano Félix,,1
2001,San Antonio de Las Minas,Cártel de Sinaloa,,1
2001,San Antonio de Las Minas,Cártel Jalisco Nueva Generación,,1
2001,San Antonio de Las Minas,Los Arzate,,1
2001,San Quintín,Cártel de Sinaloa (Los Guzmán),,1
2001,San Quintín,Cártel de Sinaloa (Los Zambada),,1
2001,San Vicente,Cártel de Los Arellano Félix,,1
2001,San Vicente,Cártel de Sinaloa,,1
2001,San Vicente,Los Arzate,,1
2001,Villa Jesús María,Cártel de Sinaloa,,1
2001,Villas del Real Residencial (aeropuerto),Los Venados,,1
2001,Zona Turística,Cártel de Sinaloa (Los Guzmán),1,1
2001,Zona Turística,Cártel de Sinaloa (Los Zambada),,1
2001,Zona Turística,Cártel Jalisco Nueva Generación,,1
2002,,Cártel de Ensenada,1,
2002,,Cártel de Los Arellano Félix,1,1
2002,,Cártel de Los Beltrán Leyva,1,1
2002,,Cártel de Sinaloa,1,1
2002,,Cártel de Sinaloa (Los Guzmán),1,1
2002,,Cártel de Sinaloa (Los Zambada),1,1
2002,,Cártel Jalisco Nueva Generación,1,1
2002,,Doblaje yonke,1,
2002,,La Bhardwaj,,1
2002,,Los Arzate,1,1
2002,,Los Hernández Salas,1,1
2002,,Los Ninis,1,1
2002,,Los Pía,1,1
2002,,Los Rusos,1,1
2002,,Los Salazar,1,1
2002, Bellavista,Cártel de Sinaloa,1,
2002, Burócratas Federales,Los Rusos,1,
2002, Centro Cívico,Los Rusos,1,
2002, Chiapas,Los Rusos,1,
2002, Chiapas,Los Salazar,1,
2002, Ciudad Coahuila,Los Garibay,1,
2002, Ciudad Coahuila,Los Rusos,1,
2002, Ciudad Morelos,Cártel de Sinaloa (Los Guzmán),1,
2002, Colima,Los Garibay,1,
2002, Colima,Los Rusos,1,
2002, Colima,Los Salazar,1,
2002, Doctor Alberto Oviedo Mota (El Indiviso),Los Rusos,1,
2002, Ejido Chiapas I,Los Garibay,1,
2002, Ejido Chiapas I,Los Pía,1,
2002, Ejido Chiapas I,Los Rusos,1,
2002, Ejido Chiapas I,Los Salazar,1,
2002, Ejido Chiapas II,Los Garibay,1,
2002, Ejido Chiapas II,Los Pía,1,
2002, Ejido Chiapas II,Los Rusos,1,
2002, Ejido Chiapas II,Los Salazar,1,
2002, Ejido Chiapas III,Los Garibay,1,
2002, Ejido Chiapas III,Los Pía,1,
2002, Ejido Chiapas III,Los Rusos,1,
2002, Ejido Chiapas III,Los Salazar,1,
2002, El Cóndor,Los Rusos,1,
2002, El Roble,Cártel de Sinaloa (Los Guzmán),1,
2002, González Ortega,Cártel de Sinaloa (Los Guzmán),1,
2002, González Ortega,Los Rusos,1,
2002, Guadalupe Victoria,Los Garibay,1,
2002, Guadalupe Victoria,Los Pía,1,
2002, Guadalupe Victoria,Los Rusos,1,
2002, Guadalupe Victoria,Los Salazar,1,
2002, Insurgentes Este,Los Salazar,1,
2002, La Puerta,Los Rusos,1,
2002, Los Algodones,Los Garibay,1,
2002, Los Algodones,Los Pía,1,
2002, Los Algodones,Los Rusos,1,
2002, Los Algodones,Los Salazar,1,
2002, Los Manantiales,Los Rusos,1,
2002, Miguel Alemán,Los Garibay,1,
2002, Miguel Alemán,Los Pía,1,
2002, Miguel Alemán,Los Salazar,1,
2002, Morelos,Cártel de Sinaloa (Los Guzmán),1,
2002, Playas de San Felipe,Cártel del Mar,1,
2002, Praderas del Sol,Cártel de Sinaloa (Los Guzmán),1,
2002, Pueblo Nuevo,Cártel Jalisco Nueva Generación,1,
2002, Valle de Puebla,Los Piscacha,1,
2002, Venustiano Carranza,Los Rusos,1,
2002, Villas del Paraíso,Cártel de Sinaloa,1,
2002,Alamitos,Cártel Jalisco Nueva Generación,1,1
2002,Ángeles de Puebla,Los Rusos,1,
2002,Burócratas Federales,Los Rusos,,1
2002,Centro Cívico,Los Rusos,,1
2002,Chiapas,Los Garibay,1,
2002,Ciudad Coahuila,Los Garibay,,1
2002,Ciudad Coahuila,Los Pía,1,1
2002,Ciudad Coahuila,Los Rusos,,1
2002,Ciudad Coahuila,Los Salazar,1,1
2002,Ciudad Morelos,Cártel de Sinaloa (Los Guzmán),,1
2002,Colima,Los Garibay,,1
2002,Colima,Los Rusos,,1
2002,Doctor Alberto Oviedo Mota (El Indiviso),Los Rusos,,1
2002,Ejido Chiapas I,Los Garibay,,1
