original_index,Municipio,Presidente Municipal,Inicio,Conclusión,full_code,firstname,lastname1,lastname2
95,Mexicali,RODOLFO VALDEZ GUTIERREZ,2007-12-01,2010-11-30,2002,Rodolfo,Valdez,Gutierrez
96,Mexicali,JAIME RAFAEL DIAZ OCHOA,2013-12-01,2016-11-30,2002,Jaime Rafael,Diaz,Ochoa
97,Mexicali,GUSTAVO SANCHEZ VAZQUEZ,2016-12-01,2019-03-07,2002,Gustavo,Sanchez,Vazquez
98,Mexicali,SCLGA GUILLERMO GALV?N SARIÑANA,2019-03-08,2019-06-02,2002,Sclga Guillermo,Galv?N,Sariñana
99,Mexicali,GUSTAVO SANCHEZ VAZQUEZ,2019-06-03,2019-09-30,2002,Gustavo,Sanchez,Vazquez
100,Mexicali,NORMA ALICIA BUSTAMANTE MARTINEZ,2021-10-01,2024-09-30,2002,Norma Alicia,Bustamante,Martinez
101,Mexicali,NORMA ALICIA BUSTAMANTE MARTÍNEZ,2024-10-01,2027-09-30,2002,Norma Alicia,Bustamante,Martínez
102,Tecate,JUAN VARGAS RODRIGUEZ,2001-12-01,2004-11-30,2003,Juan,Vargas,Rodriguez
103,Tecate,JOAQUIN SANDOVAL MILLAN,2004-12-01,2007-11-30,2003,Joaquin,Sandoval,Millan
104,Tecate,DONALDO EDUARDO PEÑALOSA AVILA,2007-12-01,2010-11-30,2003,Donaldo Eduardo,Peñalosa,Avila
105,Tecate,JAVIER IGNACIO URBALEJO CINCO,2010-12-01,2013-11-30,2003,Javier Ignacio,Urbalejo,Cinco
106,Tecate,NEREIDA FUENTES GONZALEZ,2016-12-01,2019-09-30,2003,Nereida,Fuentes,Gonzalez
107,Tecate,OLGA ZULEMA ADAMS PEREYRA,2019-10-01,2021-09-30,2003,Olga Zulema,Adams,Pereyra
108,Tecate,EDGAR DARIO BENITEZ RUIZ,2021-10-01,2024-09-30,2003,Edgar Dario,Benitez,Ruiz
109,Tecate,ROMÁN COTA MUÑOZ,2024-10-01,2027-09-30,2003,Román,Cota,Muñoz
110,Tijuana,JESUS GONZALEZ REYES,2001-12-01,2004-11-30,2004,Jesus,Gonzalez,Reyes
111,Tijuana,JORGE HANK RHON,2004-12-01,2007-11-30,2004,Jorge,Hank,Rhon
112,Tijuana,JORGE RAMOS HERNANDEZ,2007-12-01,2010-11-30,2004,Jorge,Ramos,Hernandez
113,Tijuana,CARLOS BUSTAMANTE ANCHONDO,2010-12-01,2013-11-30,2004,Carlos,Bustamante,Anchondo
114,Tijuana,JORGE ENRIQUE ASTIAZARAN ORCI,2013-12-01,2016-11-30,2004,Jorge Enrique,Astiazaran,Orci
