id,state.name,state.code,name,full_code
235,Chihuahua,8,Meoqui,8045
236,Chihuahua,8,Moris,8047
237,Chihuahua,8,Namiquipa,8048
238,Chihuahua,8,Nonoava,8049
239,Chihuahua,8,Nuevo Casas Grandes,8050
240,Chihuahua,8,Ojinaga,8052
241,Chihuahua,8,Praxedis G. Guerrero,8053
242,Chihuahua,8,Riva Palacio,8054
243,Chihuahua,8,Rosales,8055
244,Chihuahua,8,Rosario,8056
245,Chihuahua,8,San Francisco de Borja,8057
246,Chihuahua,8,San Francisco de Conchos,8058
247,Chihuahua,8,San Francisco del Oro,8059
248,Chihuahua,8,Santa Bárbara,8060
249,Chihuahua,8,Satevó,8061
250,Chihuahua,8,Saucillo,8062
251,Chihuahua,8,Temósachi,8063
252,Chihuahua,8,El Tule,8064
253,Chihuahua,8,Urique,8065
254,Chihuahua,8,Uruachi,8066
255,Chihuahua,8,Valle de Zaragoza,8067
256,Ciudad de México,9,Azcapotzalco,9002
257,Ciudad de México,9,Coyoacán,9003
258,Ciudad de México,9,Cuajimalpa de Morelos,9004
259,Ciudad de México,9,Gustavo A. Madero,9005
260,Ciudad de México,9,Iztacalco,9006
261,Ciudad de México,9,Iztapalapa,9007
262,Ciudad de México,9,La Magdalena Contreras,9008
263,Ciudad de México,9,Milpa Alta,9009
264,Ciudad de México,9,Álvaro Obregón,9010
265,Ciudad de México,9,Tláhuac,9011
266,Ciudad de México,9,Tlalpan,9012
267,Ciudad de México,9,Xochimilco,9013
268,Ciudad de México,9,Benito Juárez,9014
269,Ciudad de México,9,Miguel Hidalgo,9016
270,Durango,10,Canatlán,10001
271,Durango,10,Canelas,10002
272,Durango,10,Coneto de Comonfort,10003
273,Durango,10,Cuencamé,10004
274,Durango,10,Durango,10005
275,Durango,10,General Simón Bolívar,10006
276,Durango,10,Gómez Palacio,10007
277,Durango,10,Guadalupe Victoria,10008
278,Durango,10,Guanaceví,10009
279,Durango,10,Indé,10011
280,Durango,10,Lerdo,10012
281,Durango,10,Mapimí,10013
282,Durango,10,Mezquital,10014
283,Durango,10,Nazas,10015
284,Durango,10,Nombre de Dios,10016
285,Durango,10,El Oro,10018
286,Durango,10,Otáez,10019
287,Durango,10,Pánuco de Coronado,10020
288,Durango,10,Peñón Blanco,10021
289,Durango,10,Poanas,10022
290,Durango,10,Pueblo Nuevo,10023
291,Durango,10,Rodeo,10024
292,Durango,10,San Bernardo,10025
293,Durango,10,San Dimas,10026
294,Durango,10,San Juan de Guadalupe,10027
295,Durango,10,San Juan del Río,10028
296,Durango,10,San Luis del Cordero,10029
297,Durango,10,San Pedro del Gallo,10030
298,Durango,10,Santa Clara,10031
299,Durango,10,Santiago Papasquiaro,10032
300,Durango,10,Súchil,10033
