ZONA METROPOLITANA,MUNICIPIO,FECHA EJECUCIÓN,NÚM MUERTOS EJECUCIÓN,TIPO DE LUGAR,FUENTES
Saltillo,Ramos Arizpe,23/12/2019,1,Carretera,https://democratacoahuila.com/2019/12/23/1ejecutan-a-padre-de-funcionario-del-gobierno-de-coahuila-dejan-narcomensaje/ https://democratacoahuila.com/2019/12/23/acusa-fiscalia-motivos-personales-en-la-ejecucion-de-juan-manuel-villarreal/ 
Piedras Negras,Piedras Negras,07/01/2019,1,Narcofosa,http://www.eldiariodecoahuila.com.mx/seguridad/2019/1/9/hallan-cadaver-semienterrado-784618.html 
Piedras Negras,Piedras Negras,11/02/2019,1,Narcofosa,http://www.imparcialcoahuila.com/2019/02/11/encuentran-cuerpo-semienterrado-atras-de-albergue-de-migrantes/ https://vanguardia.com.mx/articulo/encuentran-cuerpo-espaldas-de-albergue-para-migrantes-en-piedras-negras 
Piedras Negras,Piedras Negras,12/04/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/4/13/ejecutado-narcomensaje-807610.html https://democratacoahuila.com/2019/04/16/era-comerciante-el-hombre-ejecutado-de-dos-balazos-ya-investiga-la-fge/ 
Piedras Negras,Piedras Negras,12/11/2019,1,Vía Pública,https://democratacoahuila.com/2019/11/12/asaltan-farmacia-y-de-paso-asesinan-de-2-balazos-a-su-propietario/ 
Piedras Negras,Piedras Negras,12/05/2019,1,"",http://www.eldiariodecoahuila.com.mx/seguridad/2019/5/12/ejecutan-mujer-tiran-envuelta-cobija-cerca-panteon-piedras-negras-814477.html https://democratacoahuila.com/2019/05/13/encobijan-a-mujer-cartel-del-noreste-se-adjudica-crimen-en-narcomensaje/ 
Piedras Negras,Piedras Negras,24/12/2019,1,Hospital,https://democratacoahuila.com/2019/12/24/1ejecutan-a-policia-participo-en-la-detencion-de-sicarios-que-atacaron-villa-union/ https://informatelaguna.com/2019/12/24/matan-a-balazos-a-policia-municipal-de-pn/ 
Piedras Negras,Piedras Negras,28/01/2019,1,Vía Pública,https://www.milenio.com/policia/ejercito-civiles-armados-enfrentan-piedras-negras https://www.valorportamaulipas.info/2019/01/brutal-tortura-y-decapitacion-del-cdn.html 
--,Parras,25/11/2019,1,"",https://democratacoahuila.com/2019/11/25/parras-pueblo-sin-ley-torturan-y-asesinan-a-joven/ 
--,Ocampo,01/02/2019,1,"",http://periodicoeltiempo.mx/lo-matan-a-balazos-2/ 
Piedras Negras,Nava,18/03/2019,1,"",http://lavozdgo.com/2019/03/18/encuentran-un-cuerpo-desmembrado-en-coahuila/ 
