Culiacán Rosales,525 461,,,
Seguro,,,181 598,34.6
Inseguro,,,342 224,65.1
Mazatlán,312 043,,,
Seguro,,,145 478,46.6
Inseguro,,,163 236,52.3
Los Mochis,220 240,,,
Seguro,,,125 591,57
Inseguro,,,94 360,42.8
,,,,
Sonora,,,,
Hermosillo,613 801,,,
Seguro,,,249 233,40.6
Inseguro,,,363 567,59.2
Nogales,179 656,,,
Seguro,,,89 662,49.9
Inseguro,,,89 994,50.1
,,,,
Tabasco,,,,
Villahermosa,321 041,,,
Seguro,,,30 820,9.6
Inseguro,,,290 221,90.4
,,,,
Tamaulipas,,,,
Tampico,625 415,,,
Seguro,,,373 483,59.7
Inseguro,,,251 932,40.3
Reynosa,474 504,,,
Seguro,,,99 378,20.9
Inseguro,,,375 126,79.1
Nuevo Laredo,281 791,,,
Seguro,,,101 944,36.2
Inseguro,,,179 043,63.5
,,,,
Tlaxcala,,,,
Tlaxcala de Xicohténcatl,530 228,,,
Seguro,,,255 449,48.2
Inseguro,,,274 779,51.8
,,,,
Veracruz de Ignacio de la Llave,,,,
Veracruz,561 749,,,
Seguro,,,228 724,40.7
Inseguro,,,333 025,59.3
Coatzacoalcos,225 491,,,
Seguro,,,18 416,8.2
Inseguro,,,205 369,91.1
,,,,
Yucatán,,,,
Mérida,815 361,,,
Seguro,,,631 873,77.5
Inseguro,,,183 488,22.5
,,,,
Zacatecas,,,,
Zacatecas,194 016,,,
Seguro,,,36 508,18.8
Inseguro,,,155 517,80.2
Fresnillo,87 631,,,
Seguro,,,7 207,8.2
Inseguro,,,80 424,91.8
